video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5869,0.6494,0.6007,0.6241,0.6049
002,0.6295,0.6292,0.536,0.5788,0.6031
003,0.6322,0.6419,0.6054,0.6231,0.6276
004,0.592,0.6639,0.5698,0.6132,0.6024
005,0.5413,0.6339,0.5986,0.6157,0.5761
006,0.5874,0.6434,0.5891,0.6151,0.6009
007,0.637,0.6468,0.5675,0.6046,0.6204
008,0.6439,0.6629,0.5897,0.6242,0.6339
009,0.4594,0.603,0.5454,0.5727,0.5098
010,0.6406,0.7201,0.6389,0.6771,0.6583
011,0.4372,0.6314,0.5941,0.6122,0.5101
012,0.3375,0.5544,0.4957,0.5234,0.4104
013,0.5256,0.6193,0.56,0.5881,0.5551
014,0.5894,0.7076,0.5956,0.6468,0.6168
015,0.4388,0.637,0.5858,0.6103,0.5105
016,0.6158,0.6738,0.6174,0.6444,0.6298
017,0.5362,0.6486,0.5669,0.605,0.5685
018,0.5259,0.6631,0.5895,0.6242,0.5708
019,0.5956,0.6739,0.6507,0.6621,0.6271
020,0.5304,0.5967,0.5367,0.5651,0.5472
021,0.5996,0.7022,0.5632,0.6251,0.612
022,0.6534,0.7376,0.6351,0.6825,0.6677
023,0.6514,0.7311,0.6427,0.684,0.6673
024,0.6702,0.6442,0.5798,0.6103,0.6389
025,0.6981,0.718,0.6366,0.6749,0.6863
026,0.4882,0.6299,0.6016,0.6154,0.5445
027,0.5452,0.6455,0.5559,0.5973,0.5701
028,0.4868,0.655,0.5948,0.6235,0.5467
029,0.5824,0.6337,0.5424,0.5845,0.5834
030,0.5609,0.5791,0.5381,0.5578,0.5593
031,0.6202,0.6709,0.6064,0.637,0.6285
032,0.4892,0.5754,0.5483,0.5615,0.5229
033,0.5311,0.6156,0.5743,0.5942,0.5609
034,0.4312,0.5385,0.5881,0.5622,0.4881
